Year,State_Name,County_Name,State_ID,County_ID,Per_Capita_Exp_ESRD,Avg_Risk_Score_ESRD,Person_Years_ESRD,Per_Capita_Exp_DIS,Avg_Risk_Score_DIS,Person_Years_DIS,Per_Capita_Exp_AGDU,Avg_Risk_Score_AGDU,Person_Years_AGDU,Per_Capita_Exp_AGND,Avg_Risk_Score_AGND,Person_Years_AGND
2021,Alaska,Yukon-Koyukuk,02,290,*,*,*,16543.47,0.90036,45.17,17095.95,0.78268,143,8398.46,0.7777,261.17
2021,Arizona,Apache,03,000,82293.21,0.95837,147.67,11891.69,0.9517,743.75,14201.2,0.7693,1383.42,10043.89,0.87434,3653.5
2021,Arizona,Cochise,03,010,79138.19,0.98744,62.67,8863.62,0.84561,894.5,11106.62,0.81637,543.5,9770.1,0.92399,12342.92
2021,Arizona,Coconino,03,020,87968.06,0.94136,107.5,11893.2,0.92113,683.33,14777.28,0.82059,879.83,9363,0.81326,8397.33
2021,Arizona,Gila,03,030,83007.07,0.96464,69.92,10728.66,0.88994,485.83,16548.36,0.852,403.67,9536.51,0.90715,7546.67
2021,Arizona,Graham,03,040,74815.43,0.84603,18.92,8248.93,0.82281,190.08,12812.63,0.79959,112.17,8463.46,0.87409,1721.42
2021,Arizona,Greenlee,03,050,*,*,*,7331.92,0.78797,60,14839.81,0.60952,10.67,9217.93,0.90714,462.17
2021,Arizona,"La Paz",03,055,98661.79,0.95684,25.92,14157.69,1.06694,197.5,17738.46,0.85446,165.33,11352.01,0.98702,2086.67
2021,Arizona,Maricopa,03,060,82608.31,0.99811,1679.83,11774.48,1.03901,13034.5,15219.5,0.91943,6448,10996.36,0.99175,245447.67
2021,Arizona,Mohave,03,070,85568.26,1.00749,157.17,10788.29,0.95542,1724.25,14468.03,0.90892,959.17,10451.03,1.01766,24706.58
2021,Arizona,Navajo,03,080,84880.99,0.94152,186.08,11758.19,0.96256,1153.67,13860.49,0.76708,1476.33,9583.98,0.88049,9147.58
2021,Arizona,Pima,03,090,75066.24,0.95781,453,11089.49,1.02152,3774.92,14982.69,0.86764,1845.67,9694.15,0.99045,66051.25
2021,Arizona,Pinal,03,100,88121.2,0.99576,347.42,12055.6,1.0152,2133.25,17334.13,0.92941,884.08,10407.18,0.97351,29736.5
2021,Arizona,"Santa Cruz",03,110,89795.77,0.96982,20.67,12239.46,1.13727,88.42,9338.17,0.64209,141.83,8114.82,0.85087,1981.83
2021,Arizona,Yavapai,03,120,82783.32,0.98627,89.92,11848.12,0.89134,1403.67,15543.39,0.80475,772.33,10110.47,0.91118,33345.83
2021,Arizona,Yuma,03,130,79498.75,0.96133,165.42,11052.91,0.95175,922.5,12633.12,0.80288,998.83,11427.15,1.0419,13712.33
2021,Arkansas,Arkansas,04,000,68904.74,0.96463,19.67,9664.83,0.92268,345.25,10745.85,0.90917,202.83,9397.61,0.94805,1975.25
2021,Arkansas,Ashley,04,010,67662.72,0.92676,53.83,10025.66,0.88999,512.08,19449.86,0.95277,286.17,10464.64,0.98701,2571.58
2021,Arkansas,Baxter,04,020,88534.08,0.99633,30.75,10627.08,0.96145,694.25,16279.53,1.04422,351.67,9264.82,1.0266,6735.25
2021,Arkansas,Benton,04,030,71337.42,1.01786,123.5,10613.47,0.97198,1678.33,15148.61,0.97192,885.25,10067.71,1.06866,15757.83
2021,Arkansas,Boone,04,040,83361.53,1.07683,29.58,8894.07,0.83811,625.33,13303.72,0.9325,343.33,8561.55,0.97215,4143.42
