Year,STATE_NAME,COUNTY_NAME,STATE_ID,COUNTY_ID,Per_Capita_Exp_ESRD,Avg_Risk_Score_ESRD,Person_Years_ESRD,Per_Capita_Exp_DIS,Avg_Risk_Score_DIS,Person_Years_DIS,Per_Capita_Exp_AGDU,Avg_Risk_Score_AGDU,Person_Years_AGDU,Per_Capita_Exp_AGND,Avg_Risk_Score_AGND,Person_Years_AGND
2016,Alaska,"Northwest Arctic",2,188,.,.,.,16340.31,0.61835,19.42,22300.03,0.84045,55.75,20935.51,1.04096,94.58
2016,Alaska,Sitka,2,220,*,*,*,20514.9,1.07526,75.25,22804.19,0.8804,51.25,13944.19,0.86194,514.75
2016,Alaska,"Southeast Fairbanks",2,240,*,*,*,9691.81,0.8135,82,11341.14,0.71076,95.75,9101.38,0.85606,490.17
2016,Alaska,"Valdez Cordova",2,261,*,*,*,10023.38,0.75317,92.08,16530.66,0.69612,85.08,9142.61,0.70521,606.25
2016,Alaska,Yakutat,2,282,.,.,.,*,*,*,*,*,*,17313.91,0.90346,38.67
2016,Alaska,Yukon-Koyukuk,2,290,.,.,.,14268.76,0.77919,38.67,13184.78,0.80942,128.17,8830.84,0.78614,227
2016,Arizona,Apache,3,0,76075.07,0.96574,172.33,10046.36,0.87578,1046.67,12716.07,0.71757,1631.5,9152.65,0.87168,3792.75
2016,Arizona,Cochise,3,10,62705.86,0.97263,86.67,9095.94,0.92483,1133.33,12891.07,0.8434,671.42,9135.45,0.93718,10902
2016,Arizona,Coconino,3,20,80379.25,0.95376,122.75,10759.25,0.97302,1119.08,15900.92,0.8021,999.67,9190.82,0.85764,8543.58
2016,Arizona,Gila,3,30,88000.17,0.98439,81.58,9515.86,0.9466,832.67,17735.49,0.96192,535.33,9566.25,0.93239,7584.25
2016,Arizona,Graham,3,40,70728.74,0.90692,22.83,8918.4,0.84189,269.33,11509.91,0.79259,143.67,8185.22,0.86922,1931.83
2016,Arizona,Greenlee,3,50,*,*,*,7134.92,0.77415,94.83,7812.72,0.68444,16.17,8783.42,0.85174,637.75
2016,Arizona,"La Paz",3,55,67488.59,1.00489,39,10281.57,1.10095,247,17555.29,0.80255,168.92,9281.52,1.01184,2477.33
2016,Arizona,Maricopa,3,60,80045,1.00769,2296.25,11179.49,1.01579,21697.17,15142.63,0.89107,7803.58,9818.55,0.97879,232091.25
2016,Arizona,Mohave,3,70,78622.55,1.00646,194.75,10476.14,0.98692,2864.25,16886.85,1.0014,1083.75,9593.39,1.05591,26396.5
2016,Arizona,Navajo,3,80,79435.09,0.96081,193.42,10754.93,0.94183,1491.08,13823.34,0.80927,1491.92,8805.15,0.8711,8161.92
2016,Arizona,Pima,3,90,73218.99,1.01106,676.08,10078.95,1.01921,5739.67,12324.62,0.86262,2113.5,8660.27,0.94734,65312.92
2016,Arizona,Pinal,3,100,81013.37,1.03045,426,10798.54,1.03362,3253.25,16670.92,1.03469,1256.17,9245.4,0.94124,27377.75
2016,Arizona,"Santa Cruz",3,110,84659.83,0.93959,28.5,9689.88,0.91596,160.33,8143.81,0.66348,208.92,6972.57,0.85118,1816.67
2016,Arizona,Yavapai,3,120,87188.17,0.99138,107.83,9959.42,0.92501,2393.83,16670.15,0.86759,798.25,9142.89,0.91193,33224.5
2016,Arizona,Yuma,3,130,79506.41,0.97579,201.17,10147.36,0.96602,1413.42,14746.63,0.82976,1056.5,10655.03,1.05677,14980.5
2016,Arkansas,Arkansas,4,0,79415.28,0.89074,27.33,9264.9,0.819,516.33,14348.38,0.92662,290.08,8163.41,0.87813,2050.83
2016,Arkansas,Ashley,4,10,60041.58,0.91334,54.08,8578.29,0.89646,772.67,16150.11,0.93322,384.67,9564.49,0.95098,2688.17
2016,Arkansas,Baxter,4,20,75126.19,1.02403,25.67,8968.35,0.91727,1179.25,12130.05,0.9877,451.33,8312.28,0.95034,7012.92
2016,Arkansas,Benton,4,30,69455.94,0.98092,142,9584.02,0.94405,2756.92,15686.74,0.97448,1151.08,9046.94,0.9768,15650.25
2016,Arkansas,Boone,4,40,70557.96,0.976,36.42,8488.15,0.87618,1038.75,13221.35,0.96106,409.42,7874.55,0.96921,4264
2016,Arkansas,Bradley,4,50,54540.01,0.87535,29.83,9027.7,0.86308,358.17,16970.47,0.99904,204.08,9879.7,1.04688,1212.08
2016,Arkansas,Calhoun,4,60,*,*,*,8673.06,0.91508,179,14870.38,0.9737,59.67,9538.12,0.96066,595.33
2016,Arkansas,Carroll,4,70,73028.58,1.02461,14,7026.24,0.81995,571.17,19078.05,0.95205,276.83,7897.91,0.85107,2754.5
2016,Arkansas,Chicot,4,80,66648.27,0.95799,30.17,9066.96,0.82723,380.42,19581.65,0.93284,324,10121.54,0.93456,1101.42
2016,Arkansas,Clark,4,90,57081.87,0.93463,26.17,7411.67,0.86544,478.42,12150.35,0.90437,233.42,7729.16,0.94104,2100.42
2016,Arkansas,Clay,4,100,64881.68,0.84241,18.17,8417.08,0.84843,587.25,16713.49,0.93293,343.25,9240.69,0.97836,2046.5
2016,Arkansas,Cleburne,4,110,61890.68,0.90177,20.25,7345,0.87618,834.08,15277.74,0.97104,332.08,7518.18,0.91075,4298.25
2016,Arkansas,Cleveland,4,120,60426.45,0.86354,7.83,9598.51,0.94565,250.92,19753.2,1.09652,106.33,9067.96,0.96329,1044.42
2016,Arkansas,Columbia,4,130,55624.93,0.93612,28.08,8680.12,0.81694,763.08,16181.64,0.91786,401.58,8643.31,0.93928,2396.58
2016,Arkansas,Conway,4,140,73689.92,0.87945,18.75,7971.19,0.82873,684.17,14050.77,0.98538,311.17,7647.74,0.91851,2238.58
2016,Arkansas,Craighead,4,150,73100.65,0.92816,91.33,8933.01,0.88354,2410.67,17559.8,1.01376,908.58,8834.35,0.93576,8463.5
2016,Arkansas,Crawford,4,160,65737.77,0.92856,29.08,8443.36,0.92598,1340.67,16764.97,1.0206,494.92,8737.96,0.99529,4206.08
2016,Arkansas,Crittenden,4,170,68472.88,0.90295,105.75,9347.73,1.027,1303.08,15523.08,1.02334,666.58,8756.6,1.02979,3014.08
2016,Arkansas,Cross,4,180,69263.87,0.89292,24.83,8733.54,0.849,490.25,14569.81,0.9441,303.67,8496.17,0.93638,1702.25
2016,Arkansas,Dallas,4,190,70621.02,0.96952,11.42,7809.62,0.80829,231.58,15558.21,0.94741,98.83,8832.85,0.96501,820.08
2016,Arkansas,Desha,4,200,84348.67,0.97917,39,9101.39,0.88587,396,17649.04,0.81668,277.75,9487.52,0.96687,1279.17
2016,Arkansas,Drew,4,210,79306.64,0.89144,22.25,9308.22,0.92224,566.58,17709.52,0.98206,272.33,9216.84,1.01614,1771.92
2016,Arkansas,Faulkner,4,220,63986.12,0.93587,90.83,7287.36,0.85279,2347.67,16099.09,0.98972,749.25,8350.76,0.92834,9767.58
2016,Arkansas,Franklin,4,230,*,*,*,7609.39,0.88113,407.58,13480.49,1.03639,234.5,9025.35,0.96119,1493.92
2016,Arkansas,Fulton,4,240,64168.77,0.91427,10.17,9266.02,0.84182,452.67,13781.57,0.95501,243.33,8789.1,0.94448,1590
2016,Arkansas,Garland,4,250,50265.33,0.93023,83.75,9734.23,0.99073,2313.83,17114.77,1.01358,957.42,8903.82,0.96904,13245.08
2016,Arkansas,Grant,4,260,65752.64,0.92381,11.5,8140.33,1.00022,475.92,20306.6,1.15495,157.67,8565.66,1.0194,1890.42
2016,Arkansas,Greene,4,270,76106.26,0.93642,30.17,7666.4,0.83802,1386.58,15584.66,1.00714,508.92,8682.53,0.96284,4096.92
2016,Arkansas,Hempstead,4,280,73370.37,0.89376,22.33,7320.78,0.86818,608.92,14459.25,0.95186,294.17,8028.76,1.00554,1822.92
2016,Arkansas,"Hot Spring",4,290,65529.18,0.99687,28.25,9253.64,0.93763,907.5,15118.51,1.10012,343.17,9224.61,1.03187,3597.08
2016,Arkansas,Howard,4,300,52103.38,0.9234,21.33,7196.37,0.8514,432.67,16300.52,1.01333,194.33,9261.66,0.93695,1412.42
2016,Arkansas,Independence,4,310,62911.61,1.0122,25.33,9074.96,0.88287,1283.42,15736.5,1.00032,590.92,9270.88,1.0098,4119.5
2016,Arkansas,Izard,4,320,*,*,*,7326.41,0.75701,561.58,14718.63,0.93391,295,8399.76,0.93643,1859
2016,Arkansas,Jackson,4,330,86294.36,1.00832,24.5,9477.9,0.92059,612.83,16286.19,1.05408,352.67,8914.86,1.03373,1794.5
2016,Arkansas,Jefferson,4,340,73818.78,0.941,129.83,8347.62,0.92527,1843.92,14828.91,0.91313,852.5,8613.67,0.9816,5619.25
2016,Arkansas,Johnson,4,350,58890.82,0.84616,16.33,8067.99,0.8204,806.33,12834.13,0.82237,289.5,8162.54,0.92381,2095.92
2016,Arkansas,Lafayette,4,360,71953.8,0.94106,13.17,8296.12,0.83602,250.08,13443.94,0.91212,159.5,8901.37,0.98392,808.25
2016,Arkansas,Lawrence,4,370,60147.02,0.94083,19.42,7362.68,0.80137,673.83,16808.66,0.976,380.75,8671.9,0.95349,1895.83
2016,Arkansas,Lee,4,380,77799.33,0.90759,23.25,6786.9,0.80597,266.08,11114.83,0.93536,255.33,7814.29,0.91524,680.67
